x,y,z,V,Robot
-0.065615445,0.015787473,0.30408388,[0.8103179],Franka-Panda
0.27738,0.4189533,0.9858413,[1.0701821],Franka-Panda
0.6738677,0.20542103,0.07711186,[0.3493588],Franka-Panda
-0.013846111,-0.011890791,0.25103453,[0.2811981],Franka-Panda
-0.68146276,-0.14213097,0.32449293,[0.5660207],Franka-Panda
0.18138796,-0.1101397,0.82501197,[0.96793014],Franka-Panda
-0.101783365,-0.15910283,0.2734742,[0.18715198],Franka-Panda
0.22555315,-0.30692816,0.31482565,[0.83798695],Franka-Panda
0.07505292,0.37072703,0.9774669,[0.2854121],Franka-Panda
-0.032119766,-0.59813315,0.56027764,[0.30640823],Franka-Panda
-0.17911711,0.43221667,0.31655815,[0.17402959],Franka-Panda
-0.14944193,0.737216,0.6520466,[0.47259718],Franka-Panda
-0.1505328,0.33321753,-0.10543702,[0.07958633],Franka-Panda
-0.2659372,0.15703264,0.8205315,[0.25703645],Franka-Panda
0.06742911,0.0019552708,-0.027208783,[0.03424734],Franka-Panda
0.09228977,0.16932702,0.4146868,[0.30414173],Franka-Panda
-0.009401418,-0.10315139,0.38778815,[0.7857848],Franka-Panda
-0.119220495,0.17091817,0.35554314,[0.30988514],Franka-Panda
0.23004265,-0.08223126,0.80559236,[0.30561584],Franka-Panda
0.06591656,0.32707375,-0.28230998,[0.14558497],Franka-Panda
0.19468462,-0.092887655,0.9417708,[0.8818124],Franka-Panda
-0.28831923,0.26176175,-0.19275461,[1.0111369],Franka-Panda
0.1040343,0.4195827,0.41084784,[0.5897678],Franka-Panda
0.049756262,0.20546398,0.54920894,[0.24787317],Franka-Panda
0.1087789,-0.011004552,0.023724176,[0.02492194],Franka-Panda
0.012428604,-0.6646093,0.66586703,[0.50995415],Franka-Panda
-0.22230904,0.05231953,0.7718215,[0.46430933],Franka-Panda
0.076294035,0.51909995,0.11372958,[0.5603973],Franka-Panda
